,TITLE,SENTENCE,WORD_COUNT,IS_STOP_COUNT,POS_TAGS,STRUCTURED_POS,LENGTH_CATEGORY,STOP_CATEGORY,POS_CATEGORY
0,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,masking significant epistemological distinctions of rele - vance to conceptual change research and practice,14,3,"{'VERB': 2, 'ADJ': 3, 'NOUN': 4, 'ADP': 2, 'PROPN': 1, 'PUNCT': 1, 'CCONJ': 1}","['VERB', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'CCONJ', 'VERB']",Medium,High,Low
1,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,"For in - stance, when we use the term “cognition” to mark a theoreti - cal stance, are we talking about the approaches associated with radical constructivism (von Glaserfeld, 1991), informa - tion-processing theory (Simon, 1989), or cognitive constructivism (Piaget, 1926, 1930)",42,13,"{'ADP': 4, 'PUNCT': 20, 'NOUN': 11, 'SCONJ': 1, 'PRON': 2, 'VERB': 4, 'DET': 3, 'PART': 1, 'ADJ': 4, 'AUX': 1, 'PROPN': 4, 'NUM': 4, 'CCONJ': 1}","['ADP', 'ADP', 'PUNCT', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PART', 'VERB', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'AUX', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT']",Long,High,Medium
2,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,"Similarly, when an ap - proach to learning and teaching is categorized as socio - cultural is one envisioning social constructivism (Vygotsky, 1978), situated cognition or situativity (Greeno, 1989;Greeno & the Middle School Mathematics Through Applica - tion Project Group, 1998), or theory more aligned to social or cultural anthropology (Lave, 1988; Lave & Wenger, 1991;Rogoff, 1990)",57,15,"{'ADV': 2, 'PUNCT': 19, 'SCONJ': 1, 'DET': 2, 'NOUN': 9, 'ADP': 4, 'VERB': 5, 'CCONJ': 6, 'AUX': 2, 'ADJ': 4, 'NUM': 5, 'PROPN': 14}","['ADV', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'VERB', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'AUX', 'NUM', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'CCONJ', 'NOUN', 'ADV', 'VERB', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']",Long,High,Medium
3,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,"All of the aforementioned theories and their innumerable iterations can be differentiated in multiple ways, includingepistemologically (i.e., views on the nature and source ofknowledge)",24,11,"{'PRON': 2, 'ADP': 3, 'DET': 2, 'ADJ': 3, 'NOUN': 7, 'CCONJ': 2, 'AUX': 2, 'VERB': 1, 'PUNCT': 4, 'ADV': 1, 'X': 1}","['PRON', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'PRON', 'ADJ', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT']",Long,High,Low
4,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,"Further, such epistemological differences makethis bonding process seemingly unnecessary or unachiev - able",13,3,"{'ADV': 2, 'PUNCT': 2, 'ADJ': 5, 'NOUN': 4, 'CCONJ': 1}","['ADV', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADV', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'ADJ']",Medium,High,Low
5,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,I am not alone in my contention that epistemology mat - ters in this cross-perspective dialogue,16,9,"{'PRON': 2, 'AUX': 1, 'PART': 1, 'ADJ': 3, 'ADP': 2, 'NOUN': 6, 'DET': 2, 'PUNCT': 1}","['PRON', 'AUX', 'PART', 'ADJ', 'ADP', 'PRON', 'NOUN', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",Medium,High,Low
6,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,Several of the authors readily admit that questions about the nature of knowledgeare paramount to this hoped-for partnership,18,10,"{'ADJ': 2, 'ADP': 5, 'DET': 3, 'NOUN': 5, 'ADV': 1, 'VERB': 2, 'SCONJ': 1, 'PUNCT': 1}","['ADJ', 'ADP', 'DET', 'NOUN', 'ADV', 'VERB', 'SCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'VERB', 'PUNCT', 'ADP', 'NOUN']",Medium,High,Medium
7,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,"For instance, asa frame for her argument,V osniadou (2007) wrote thatthe“main difference between the two perspectives [i.e., cog-nitive and sociocultural] is their position on the ontologicalstatus of knowledge” (p",29,12,"{'ADP': 5, 'NOUN': 11, 'PUNCT': 10, 'PROPN': 3, 'PRON': 2, 'NUM': 2, 'VERB': 1, 'DET': 2, 'X': 1, 'ADJ': 2, 'CCONJ': 1, 'AUX': 1}","['ADP', 'NOUN', 'PUNCT', 'PROPN', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'VERB', 'PROPN', 'NOUN', 'ADP', 'DET', 'NUM', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'PUNCT', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'AUX', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PUNCT', 'PROPN']",Long,High,Low
8,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,"Similarly, Murphy (2007)stated that “sociocultural and cognitive perspectives hold toepistemically different views on knowledge acquisition andchange” (p",17,3,"{'ADV': 2, 'PUNCT': 5, 'PROPN': 2, 'NUM': 1, 'SCONJ': 1, 'ADJ': 3, 'CCONJ': 1, 'NOUN': 5, 'VERB': 1, 'ADP': 1}","['ADV', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'SCONJ', 'PUNCT', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'PROPN']",Medium,High,Medium
9,Bridging Cognition and Socioculturalism Within Conceptual Change Research- Unnecessary Foray or Unachievable Feat,"For example, do researchers in conceptual change, as with the philosophers of decades past, assume that knowledgearises solely or primarily through rational thought (i.e., acognitive construction) or through empiricism aided by so - cial interactions situated within a specific time and place (i.e., a sociocultural construction), or some combinationthereof",49,20,"{'ADP': 9, 'NOUN': 13, 'PUNCT': 11, 'VERB': 4, 'ADJ': 8, 'DET': 4, 'SCONJ': 1, 'ADV': 3, 'CCONJ': 4, 'X': 2}","['ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'SCONJ', 'NOUN', 'ADV', 'CCONJ', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADV', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'CCONJ', 'DET', 'ADJ']",Long,High,Medium
